Date,Unhedged CHF,USD-hedged CHF,Basket-hedged CHF
2006-02-28,-0.014133118245237108,-0.04149312299152064,-0.03111437438104184
2006-03-31,0.016527849531279948,0.0184915506612775,0.017930022286262857
2006-04-30,0.011334730977338614,0.06183621911084991,0.03484099448107546
2006-05-31,-0.12620795749727065,-0.11437675750283971,-0.10337137266404842
2006-06-30,0.006495923963120376,-0.0013991816426922599,-0.001646328186664393
2006-07-31,0.029453459091153045,0.019820001868581905,0.02483212554119664
2006-08-31,0.016312677893077554,0.012235181323965394,0.014599468860915423
2006-09-30,0.008687982400038319,-0.011791656620705138,-0.010561950225998828
2006-10-31,0.06288690969026067,0.06724876312573946,0.05919523754419832
2006-11-30,0.020639372582349047,0.05654797455584615,0.04018902702836308
2006-12-31,0.07406052339308933,0.05131656148539765,0.052463248802559426
2007-01-31,0.021578581226633586,-0.0019761938654451194,0.00426400057487478
2007-02-28,-0.052120220501024495,-0.035381740880672474,-0.038345768630167226
2007-03-31,0.04867978703500153,0.05050514418216823,0.04590108397284363
2007-04-30,0.03084346130362836,0.03445617071467866,0.02430316170424145
2007-05-31,0.0671080499877037,0.04781230642382095,0.043809893110395653
2007-06-30,0.03373658644622157,0.0339874886410203,0.02943617068315239
2007-07-31,-0.009513862363000114,0.004425496444693033,-0.0010656389275627066
2007-08-31,0.016129086814072213,0.007685075662875018,0.013423336102359908
2007-09-30,0.07406376889907929,0.11363116780800331,0.0877769186726988
2007-10-31,0.11533518345023142,0.11684431806233175,0.10426687911756764
2007-11-30,-0.09832284252570989,-0.07803312576043575,-0.07746208652930885
2007-12-31,-0.014154068809426712,-0.01549971019692653,-0.019464396288988207
2008-01-31,-0.13049633444843745,-0.08960026517463238,-0.09587010047520955
2008-02-29,-0.01639243958413983,0.019519243206363557,0.0024075256464165273
2008-03-31,-0.08158146227303986,-0.0373304895520683,-0.04306036912209785
2008-04-30,0.1358280702354484,0.09183662492009947,0.0960652873227231
2008-05-31,0.03801704784381488,0.0320669824701032,0.037802509329608124
2008-06-30,-0.11046806453258973,-0.09231749891090912,-0.09721832056656765
2008-07-31,-0.030513445408437034,-0.054646744603632946,-0.06350168646461266
2008-08-31,-0.019870489209785847,-0.06276786620733332,-0.03815500689410941
2008-09-30,-0.12735375857313203,-0.1464619086909057,-0.11154005411201227
2008-10-31,-0.23015134355100486,-0.2551600794980404,-0.23039156043902118
2008-11-30,-0.06771271157682346,-0.0975228942446763,-0.0765456573323803
2008-12-31,-0.039348616073778486,0.1035650361572722,0.039026247497761825
2009-01-31,0.009374212929782466,-0.09272249074985206,-0.0653180918257056
2009-02-28,-0.05510097188110652,-0.06249779790394594,-0.03873168797305362
2009-03-31,0.1376630700575454,0.16862929964612783,0.1342787758417361
