Date,Unhedged CHF,USD-hedged CHF,Basket-hedged CHF
2008-04-30,0.12365294928491699,0.08013305523823155,0.08912550966389737
2008-05-31,0.014875475588803866,0.009058061088267788,0.009447955557025533
2008-06-30,-0.09789765392359318,-0.07949059378659185,-0.08126733413537222
2008-07-31,-0.006430378487881749,-0.03116317424832571,-0.027223992919611466
2008-08-31,0.028717053062631503,-0.01630685731167747,-0.0017527307389564636
2008-09-30,-0.10259406063799092,-0.12224436862289956,-0.11782548645149045
2008-10-31,-0.15596579563537183,-0.1833844686049202,-0.17196621382669813
2008-11-30,-0.05742369112519119,-0.08756286849558381,-0.08826178226757626
2008-12-31,-0.0817363403193958,0.054871398462651655,0.02158913621921625
2009-01-31,-0.013890426180737991,-0.11363394614014832,-0.10103054328548788
2009-02-28,-0.08979779384477293,-0.09692300740112314,-0.09048134051771568
2009-03-31,0.06319601912875683,0.09213531837518718,0.08136393753503965
2009-04-30,0.129067214106251,0.12777992965871077,0.12392179051645807
2009-05-31,0.033436248391924606,0.10485146444321569,0.07608607590181343
2009-06-30,0.0026449092858089607,-0.01517711068885852,-0.011193340116519776
2009-07-31,0.07639234952102014,0.09422984314420257,0.0849887702847638
2009-08-31,0.020036537104979768,0.029676793967889248,0.02752398187091263
2009-09-30,0.025346338771090382,0.04863611579172278,0.040170304624742734
2009-10-31,-0.03461190109654777,-0.026994097517657023,-0.028921334161965875
2009-11-30,0.02994628876544736,0.05397249732199483,0.044548813511605515
2009-12-31,0.05032471576127695,0.01873990489838695,0.031323581112449234
2010-01-31,-0.028609396670680853,-0.05296742293595569,-0.049157585560362774
2010-02-28,0.033762267865871776,0.02172269123890258,0.024281149312888918
2010-03-31,0.04383768682539868,0.06329456949453194,0.06140468804169978
2010-04-30,0.018476263747950084,-0.00229852373597883,0.0006641212915942127
2010-05-31,-0.023404506798297198,-0.09375714830752713,-0.0819593850273372
2010-06-30,-0.10322682633511782,-0.03558192491555534,-0.04383446136489441
2010-07-31,0.055817218426091,0.09335113602826528,0.07561383963987904
2010-08-31,-0.05721390157477313,-0.042812003252379216,-0.04108887357341863
2010-09-30,0.04620673849368773,0.09809400681471314,0.07678712518001661
2010-10-31,0.051385215850607624,0.03749109854815513,0.03696873003341304
2010-11-30,-0.010673673028126607,-0.02186047820109782,-0.015263074241740076
2010-12-31,0.006211339510615588,0.07792203142572918,0.06024911119570043
2011-01-31,0.018576551428346466,0.010681426708593067,0.009916163343849602
2011-02-28,0.01596336771813278,0.03107147144989164,0.02561561909682194
2011-03-31,-0.018652140877733148,-0.008610097469975098,-0.011969152604631394
2011-04-30,-0.003966326625031047,0.04818025600673859,0.03173014613887554
2011-05-31,-0.044465894839219255,-0.019530141343652163,-0.018776824708162557
2011-06-30,-0.03793490182202308,-0.01761039670655562,-0.021412407757202743
2011-07-31,-0.060157094094443364,-0.022797924271290904,-0.02878669522315421
2011-08-31,-0.052956636860601036,-0.07378781378582977,-0.0727422459175536
2011-09-30,-0.018531032829983918,-0.10458226056599906,-0.09435507876939206
2011-10-31,0.0694250552471376,0.1130094666924224,0.09660502812991942
2011-11-30,0.056029223825696306,-0.011686750434152127,0.004824113214255685
2011-12-31,0.010926039893181416,-0.00970974561822191,-0.006965058525068849
2012-01-31,0.024386579518136386,0.05455856271812598,0.04486966356690232
2012-02-29,0.027623276274139963,0.049242102413616484,0.045617414820075156
2012-03-31,0.023918654250657534,0.010928887817707844,0.015835329117476482
2012-04-30,-0.009584346095222407,-0.011646442955919989,-0.014364597227887004
2012-05-31,-0.0292220961410532,-0.09298808763986643,-0.08222419607791524
2012-06-30,0.044769595652263794,0.050504292585699995,0.04998177735507718
2012-07-31,0.023279295826426072,0.007995893032160417,0.006826191310004131
2012-08-31,0.0070346769173241785,0.027595020433955453,0.02282785898530989
2012-09-30,0.0028946031307330866,0.0268429748855048,0.018187530372615085
2012-10-31,-0.010405189657992642,-0.0053473639153057695,-0.004545406441358237
2012-11-30,0.011070804747905783,0.01571946025579818,0.015926407883917127
2012-12-31,0.012182750975169743,0.02882705462081847,0.026829948335884278
2013-01-31,0.03582611599004304,0.037429181481287044,0.038537151841154374
2013-02-28,0.01819930804452885,-0.0012101458276531085,0.0054666296013128925
2013-03-31,0.04610233229470695,0.01804611866871375,0.024860576814643605
2013-04-30,0.01026301934417817,0.028160445620044605,0.02412671624346295
2013-05-31,0.013813881463321076,-0.004039959464213649,0.0012853407265916153
2013-06-30,-0.03501438844064064,-0.026219907921689822,-0.025941859601450554
2013-07-31,0.02889943441477505,0.04558236902556856,0.0400889392857066
2013-08-31,-0.02118331129803508,-0.023152492719262008,-0.02256289519812755
2013-09-30,0.025814774286376574,0.05517265857084008,0.04581072763454472
2013-10-31,0.03381848893284056,0.03928637850492711,0.03666346698078227
2013-11-30,0.021884121445030047,0.015310461556512278,0.019525988634262262
2013-12-31,-0.0003666997706294195,0.02047924014506841,0.017358760698507586
2014-01-31,-0.029923980742641576,-0.04653652283992238,-0.04396200974463527
2014-02-28,0.035528706716675185,0.05182813089896943,0.048242550353613495
2014-03-31,0.004009979783283768,0.005498770513288953,0.00492386253700457
2014-04-30,0.007760201908806996,0.011657159785723348,0.009772420398535988
2014-05-31,0.037035739237707865,0.019845410916016215,0.022594576538529816
2014-06-30,0.010357782177641495,0.017970039016845796,0.014935547192379585
2014-07-31,0.005141139169283715,-0.014642678827491151,-0.009982058713811326
2014-08-31,0.03291877568666357,0.02554834776914605,0.028251588270097716
2014-09-30,0.004731769916875184,-0.03335969932362992,-0.021510263533288353
2014-10-31,0.017588671831198832,0.011843481992042992,0.014032317135272155
2014-11-30,0.022811166110821457,0.01354498287289041,0.0202335201197714
2014-12-31,0.0006150818058565655,-0.023780209660491214,-0.01706500803481483
2015-01-31,-0.07908878420702825,-0.01398473699709779,-0.012465619184739835
2015-02-28,0.08951023782381795,0.0542051448796701,0.06060400888030665
