Date,UKX Index,SPX Index,NKY Index,SMI Index,SX5E Index
1990-11-12,,,,0.014599861845396111,
1990-11-13,,,,0.005455748329097356,
1990-11-14,,,,-0.003468347022239492,
1990-11-15,,,,-0.003267117718791552,
1990-11-16,,,,-0.00749762544441981,
1990-11-19,,,,0.014798256096173206,
1990-11-20,,,,-0.007229424778523837,
1990-11-21,,,,-0.005277827115301729,
1990-11-22,,,,-0.006888643295254326,
1990-11-23,,,,-0.0023068588762635168,
1990-11-26,,,,-0.0232916930667045,
1990-11-27,,,,0.002508503975830416,
1990-11-28,,,,0.006975833384410606,
1990-11-29,,,,0.0012432435891538529,
1990-11-30,,,,0.012058823406414707,
1990-12-03,,,,0.01753614673780448,
1990-12-04,,,,-0.004480042215368385,
1990-12-05,,,,0.005898079864629732,
1990-12-06,,,,0.027188328369314434,
1990-12-07,,,,-0.004007224327517144,
1990-12-10,,,,-0.012749710548607452,
1990-12-11,,,,-0.008661669492710194,
1990-12-12,,,,0.004234602909551991,
1990-12-13,,,,-0.002044503083843976,
1990-12-14,,,,-0.006655851587710871,
1990-12-17,,,,-0.013734086531023764,
1990-12-18,,,,0.0035947985452886915,
1990-12-19,,,,-0.004820032569160242,
1990-12-20,,,,-0.011240555314335657,
1990-12-21,,,,0.012105597718704843,
1990-12-24,,,,-0.00036032140425371523,
1990-12-27,,,,-0.0024536523705748978,
1990-12-28,,,,-0.0006505181986500651,
1991-01-03,,,,-0.00798494384504473,
1991-01-04,,,,-0.0002915842463553519,
1991-01-07,,,,-0.02315730497237134,
1991-01-08,,,,-0.01042498212790365,
1991-01-09,,,,0.01756200991332174,
1991-01-10,,,,-0.01372440744662464,
1991-01-11,,,,-0.007992785341269376,
1991-01-14,,,,-0.02553333944897064,
1991-01-15,,,,0.007042536435407151,
1991-01-16,,,,-0.00564552508819809,
1991-01-17,,,,0.05580458502447821,
1991-01-18,,,,-0.006918423363214124,
1991-01-21,,,,-0.017057524760515527,
1991-01-22,,,,0.004273085095604226,
1991-01-23,,,,0.009825857625166025,
1991-01-24,,,,0.027615202216806783,
1991-01-25,,,,0.009180904140989713,
1991-01-28,,,,0.009451162074700694,
1991-01-29,,,,-0.0012031233586540947,
