,UKX Index,SPX Index,NKY Index,SMI Index,SX5E Index
UKX Index,1.0,0.5328231894929799,0.29086534944739356,0.62776292906468,0.7936849484507121
SPX Index,0.5328231894929799,1.0,0.25771229832023596,0.398219688495909,0.57082841270111
NKY Index,0.29086534944739356,0.25771229832023596,1.0,0.3191777086702539,0.3532157836136664
SMI Index,0.62776292906468,0.398219688495909,0.3191777086702539,1.0,0.7266893962183533
SX5E Index,0.7936849484507121,0.57082841270111,0.3532157836136664,0.7266893962183533,1.0
